vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,9.21100000e+03,1.85000000e+00,-1.85137520e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137521e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137521e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137522e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
4.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137523e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
5.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137525e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
6.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137527e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
7.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137532e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
8.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137539e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
9.00000000e-02,9.21100000e+03,1.85000000e+00,-1.85137551e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.00000000e-01,9.21100000e+03,1.85000000e+00,-1.85137569e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.10000000e-01,9.21100000e+03,1.85000000e+00,-1.85137599e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.20000000e-01,9.21100000e+03,1.85000000e+00,-1.85137647e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.30000000e-01,9.21100000e+03,1.85000000e+00,-1.85137723e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.40000000e-01,9.21100000e+03,1.85000000e+00,-1.85137846e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.50000000e-01,9.21100000e+03,1.85000000e+00,-1.85138044e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.60000000e-01,9.21100000e+03,1.85000000e+00,-1.85138360e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.70000000e-01,9.21100000e+03,1.85000000e+00,-1.85138869e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.80000000e-01,9.21100000e+03,1.85000000e+00,-1.85139685e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
1.90000000e-01,9.21100000e+03,1.85000000e+00,-1.85140995e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.00000000e-01,9.21100000e+03,1.85000000e+00,-1.85143098e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.10000000e-01,9.21100000e+03,1.85000000e+00,-1.85146472e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.20000000e-01,9.21100000e+03,1.85000000e+00,-1.85151889e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.30000000e-01,9.21100000e+03,1.85000000e+00,-1.85160584e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.40000000e-01,9.21100000e+03,1.85000000e+00,-1.85174539e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.50000000e-01,9.21100000e+03,1.85000000e+00,-1.85196938e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.60000000e-01,9.21100000e+03,1.85000000e+00,-1.85232891e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.70000000e-01,9.21100000e+03,1.85000000e+00,-1.85290597e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.80000000e-01,9.21100000e+03,1.85000000e+00,-1.85383218e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
2.90000000e-01,9.21100000e+03,1.85000000e+00,-1.85531881e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.00000000e-01,9.21100000e+03,1.85000000e+00,-1.85770493e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.10000000e-01,9.21100000e+03,1.85000000e+00,-1.86153477e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.20000000e-01,9.21100000e+03,1.85000000e+00,-1.86768184e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.30000000e-01,9.21100000e+03,1.85000000e+00,-1.87754811e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.40000000e-01,9.21100000e+03,1.85000000e+00,-1.89338372e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.50000000e-01,9.21100000e+03,1.85000000e+00,-1.91880006e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
3.60000000e-01,9.21100000e+03,1.85000000e+00,-1.95959317e-12,4.43665833e-01,7.89667486e-02,1.09332406e+02,1.17316075e+01,1.46992678e+05,-2.08051319e-01
