vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,1.95200000e+03,1.85000000e+00,1.41118172e-43,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.00000000e-02,1.95200000e+03,1.85000000e+00,-4.39551377e-05,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.00000000e-02,1.95200000e+03,1.85000000e+00,-8.69340683e-05,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
3.00000000e-02,1.95200000e+03,1.85000000e+00,-1.28893136e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
4.00000000e-02,1.95200000e+03,1.85000000e+00,-1.69796748e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
5.00000000e-02,1.95200000e+03,1.85000000e+00,-2.09614691e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
6.00000000e-02,1.95200000e+03,1.85000000e+00,-2.48320429e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
7.00000000e-02,1.95200000e+03,1.85000000e+00,-2.85890011e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
8.00000000e-02,1.95200000e+03,1.85000000e+00,-3.22301432e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
9.00000000e-02,1.95200000e+03,1.85000000e+00,-3.57534309e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.00000000e-01,1.95200000e+03,1.85000000e+00,-3.91569825e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.10000000e-01,1.95200000e+03,1.85000000e+00,-4.24390876e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.20000000e-01,1.95200000e+03,1.85000000e+00,-4.55982400e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.30000000e-01,1.95200000e+03,1.85000000e+00,-4.86331854e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.40000000e-01,1.95200000e+03,1.85000000e+00,-5.15429790e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.50000000e-01,1.95200000e+03,1.85000000e+00,-5.43270505e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.60000000e-01,1.95200000e+03,1.85000000e+00,-5.69852703e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.70000000e-01,1.95200000e+03,1.85000000e+00,-5.95180113e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.80000000e-01,1.95200000e+03,1.85000000e+00,-6.19262018e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
1.90000000e-01,1.95200000e+03,1.85000000e+00,-6.42113617e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.00000000e-01,1.95200000e+03,1.85000000e+00,-6.63756197e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.10000000e-01,1.95200000e+03,1.85000000e+00,-6.84217080e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.20000000e-01,1.95200000e+03,1.85000000e+00,-7.03529328e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.30000000e-01,1.95200000e+03,1.85000000e+00,-7.21731230e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.40000000e-01,1.95200000e+03,1.85000000e+00,-7.38865612e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.50000000e-01,1.95200000e+03,1.85000000e+00,-7.54978993e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.60000000e-01,1.95200000e+03,1.85000000e+00,-7.70120673e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
2.70000000e-01,1.95200000e+03,1.85000000e+00,-7.84341797e-04,3.94129429e-01,6.61801949e-02,1.04227439e+02,8.00963270e+00,1.22685005e+05,-1.96587299e-01
