vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,7.33600000e+03,1.85000000e+00,3.62298905e-43,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.00000000e-02,7.33600000e+03,1.85000000e+00,-4.16855886e-05,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.00000000e-02,7.33600000e+03,1.85000000e+00,-8.24734208e-05,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
3.00000000e-02,7.33600000e+03,1.85000000e+00,-1.22340925e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
4.00000000e-02,7.33600000e+03,1.85000000e+00,-1.61267833e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
5.00000000e-02,7.33600000e+03,1.85000000e+00,-1.99235254e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
6.00000000e-02,7.33600000e+03,1.85000000e+00,-2.36225001e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
7.00000000e-02,7.33600000e+03,1.85000000e+00,-2.72219131e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
8.00000000e-02,7.33600000e+03,1.85000000e+00,-3.07199634e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
9.00000000e-02,7.33600000e+03,1.85000000e+00,-3.41148282e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.00000000e-01,7.33600000e+03,1.85000000e+00,-3.74046615e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.10000000e-01,7.33600000e+03,1.85000000e+00,-4.05876069e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.20000000e-01,7.33600000e+03,1.85000000e+00,-4.36618247e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.30000000e-01,7.33600000e+03,1.85000000e+00,-4.66255333e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.40000000e-01,7.33600000e+03,1.85000000e+00,-4.94770652e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.50000000e-01,7.33600000e+03,1.85000000e+00,-5.22149355e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.60000000e-01,7.33600000e+03,1.85000000e+00,-5.48379209e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.70000000e-01,7.33600000e+03,1.85000000e+00,-5.73451448e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.80000000e-01,7.33600000e+03,1.85000000e+00,-5.97361645e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
1.90000000e-01,7.33600000e+03,1.85000000e+00,-6.20110516e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.00000000e-01,7.33600000e+03,1.85000000e+00,-6.41704606e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.10000000e-01,7.33600000e+03,1.85000000e+00,-6.62156776e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.20000000e-01,7.33600000e+03,1.85000000e+00,-6.81486438e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.30000000e-01,7.33600000e+03,1.85000000e+00,-6.99719508e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.40000000e-01,7.33600000e+03,1.85000000e+00,-7.16888060e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.50000000e-01,7.33600000e+03,1.85000000e+00,-7.33029726e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
2.60000000e-01,7.33600000e+03,1.85000000e+00,-7.48186859e-04,3.73130596e-01,6.07598843e-02,1.02063408e+02,6.43186124e+00,1.12380810e+05,-1.91727619e-01
