 v-sweep         vdd             gate            ax_id2          out_vth0        out_u0          out_rdsw        out_nfactor     out_vsat        out_eta0       
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.61329054e-43  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 1.00000000e-02  0.00000000e+00  1.00000000e-02 -8.65430442e-54  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 2.00000000e-02  0.00000000e+00  2.00000000e-02  8.75158541e-54  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 3.00000000e-02  0.00000000e+00  3.00000000e-02  3.79617669e-64  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 4.00000000e-02  0.00000000e+00  4.00000000e-02 -1.26848166e-64  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 5.00000000e-02  0.00000000e+00  5.00000000e-02 -8.27964786e-75  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 6.00000000e-02  0.00000000e+00  6.00000000e-02  1.65776831e-75  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 7.00000000e-02  0.00000000e+00  7.00000000e-02  1.43916240e-85  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 8.00000000e-02  0.00000000e+00  8.00000000e-02 -2.05729681e-86  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 9.00000000e-02  0.00000000e+00  9.00000000e-02 -2.23093707e-96  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 1.00000000e-01  0.00000000e+00  1.00000000e-01  2.47993184e-97  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
 1.10000000e-01  0.00000000e+00  1.10000000e-01  3.23044481e-107  4.49001930e-01  7.18803251e-02  9.10984481e+01  1.11680186e+01  1.27351409e+05 -1.82019341e-01 
