 v-sweep         vdd             gate            ax_id2          out_vth0        out_u0          out_rdsw        out_nfactor     out_vsat        out_eta0       
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.71289267e-43  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.00000000e-02  0.00000000e+00  1.00000000e-02  1.64702746e-53  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.00000000e-02  0.00000000e+00  2.00000000e-02  9.95853602e-55  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 3.00000000e-02  0.00000000e+00  3.00000000e-02 -1.26328783e-65  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 4.00000000e-02  0.00000000e+00  4.00000000e-02  4.72358962e-66  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 5.00000000e-02  0.00000000e+00  5.00000000e-02  8.70553073e-76  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 6.00000000e-02  0.00000000e+00  6.00000000e-02 -1.77465458e-76  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 7.00000000e-02  0.00000000e+00  7.00000000e-02 -2.06584104e-86  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 8.00000000e-02  0.00000000e+00  8.00000000e-02  2.97775802e-87  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 9.00000000e-02  0.00000000e+00  9.00000000e-02  3.70208850e-97  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.00000000e-01  0.00000000e+00  1.00000000e-01 -4.13658385e-98  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.10000000e-01  0.00000000e+00  1.10000000e-01 -5.80387148e-108  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.20000000e-01  0.00000000e+00  1.20000000e-01  5.29764879e-109  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.30000000e-01  0.00000000e+00  1.30000000e-01  8.42554728e-119  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.40000000e-01  0.00000000e+00  1.40000000e-01 -6.50176255e-120  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.50000000e-01  0.00000000e+00  1.50000000e-01 -1.16487788e-129  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.60000000e-01  0.00000000e+00  1.60000000e-01  7.78618186e-131  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.70000000e-01  0.00000000e+00  1.70000000e-01  1.55819740e-140  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.80000000e-01  0.00000000e+00  1.80000000e-01 -9.18637095e-142  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 1.90000000e-01  0.00000000e+00  1.90000000e-01 -2.03613009e-151  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.00000000e-01  0.00000000e+00  2.00000000e-01  1.07374795e-152  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.10000000e-01  0.00000000e+00  2.10000000e-01  2.61530665e-162  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.20000000e-01  0.00000000e+00  2.20000000e-01 -1.24756257e-163  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.30000000e-01  0.00000000e+00  2.30000000e-01 -3.31573462e-173  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.40000000e-01  0.00000000e+00  2.40000000e-01  1.44390538e-174  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.50000000e-01  0.00000000e+00  2.50000000e-01  4.16128307e-184  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.60000000e-01  0.00000000e+00  2.60000000e-01 -1.66692232e-185  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.70000000e-01  0.00000000e+00  2.70000000e-01 -5.18029203e-195  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
 2.80000000e-01  0.00000000e+00  2.80000000e-01  1.92118759e-196  4.02988199e-01  7.05428330e-02  1.03000231e+02  1.04155229e+01  1.28560782e+05 -1.96576398e-01 
