vgate,idrain,idrain-fit,errors,vbulk,vdrain,vsource,ID
0.6,-1.00E-07,-7.09E-08,0.29050338,0,1.48,0,7.09E-08
0.61,-1.00E-07,-1.11E-07,0.1087109,0,1.48,0,1.11E-07
0.62,-1.00E-07,-1.72E-07,0.721207,0,1.48,0,1.72E-07
0.63,-3.00E-07,-2.65E-07,0.1155761,0,1.48,0,2.65E-07
0.64,-4.00E-07,-4.06E-07,0.014967525,0,1.48,0,4.06E-07
0.65,-7.00E-07,-6.16E-07,0.119339871,0,1.48,0,6.16E-07
0.66,-1.00E-06,-9.29E-07,0.07144315,0,1.48,0,9.29E-07
0.67,-1.60E-06,-1.39E-06,0.13345,0,1.48,0,1.39E-06
0.68,-2.20E-06,-2.05E-06,0.068395273,0,1.48,0,2.05E-06
0.69,-3.30E-06,-2.99E-06,0.092951606,0,1.48,0,2.99E-06
0.7,-4.50E-06,-4.31E-06,0.042772,0,1.48,0,4.31E-06
0.71,-5.90E-06,-6.09E-06,0.032250746,0,1.48,0,6.09E-06
0.72,-7.90E-06,-8.44E-06,0.068015405,0,1.48,0,8.44E-06
0.73,-1.02E-05,-1.14E-05,0.120601765,0,1.48,0,1.14E-05
0.74,-1.32E-05,-1.51E-05,0.1458425,0,1.48,0,1.51E-05
0.75,-1.91E-05,-1.95E-05,0.023415288,0,1.48,0,1.95E-05
0.76,-2.01E-05,-2.47E-05,0.22833204,0,1.48,0,2.47E-05
0.77,-2.45E-05,-3.05E-05,0.245612857,0,1.48,0,3.05E-05
0.78,-2.93E-05,-3.70E-05,0.262027782,0,1.48,0,3.70E-05
0.79,-3.45E-05,-4.40E-05,0.275481275,0,1.48,0,4.40E-05
0.8,-4.02E-05,-5.15E-05,0.28181306,0,1.48,0,5.15E-05
0.81,-4.66E-05,-5.95E-05,0.276502296,0,1.48,0,5.95E-05
0.82,-5.34E-05,-6.78E-05,0.269872509,0,1.48,0,6.78E-05
0.83,-6.11E-05,-7.65E-05,0.251283339,0,1.48,0,7.65E-05
0.84,-6.88E-05,-8.54E-05,0.240775712,0,1.48,0,8.54E-05
0.85,-7.52E-05,-9.45E-05,0.25675762,0,1.48,0,9.45E-05
0.86,-8.43E-05,-0.00010385,0.231904745,0,1.48,0,1.04E-04
0.87,-9.37E-05,-0.000113363,0.209850694,0,1.48,0,1.13E-04
0.88,-0.0001022,-0.000123027,0.203783562,0,1.48,0,1.23E-04
0.89,-0.0001133,-0.000132823,0.172309003,0,1.48,0,1.33E-04
0.9,-0.0001223,-0.000142736,0.167096975,0,1.48,0,1.43E-04
0.91,-0.0001319,-0.000152754,0.158106975,0,1.48,0,1.53E-04
0.92,-0.0001422,-0.000162867,0.1453391,0,1.48,0,1.63E-04
0.93,-0.0001524,-0.000173066,0.135602231,0,1.48,0,1.73E-04
0.94,-0.0001624,-0.000183342,0.128954988,0,1.48,0,1.83E-04
0.95,-0.0001735,-0.00019369,0.116369049,0,1.48,0,1.94E-04
0.96,-0.0001844,-0.000204103,0.106849566,0,1.48,0,2.04E-04
0.97,-0.0001963,-0.000214576,0.093102649,0,1.48,0,2.15E-04
0.98,-0.0002064,-0.000225104,0.090621269,0,1.48,0,2.25E-04
0.99,-0.0002183,-0.000235683,0.079630142,0,1.48,0,2.36E-04
1,-0.0002288,-0.000246309,0.076526005,0,1.48,0,2.46E-04
1.01,-0.00024,-0.000256978,0.070742708,0,1.48,0,2.57E-04
1.02,-0.0002515,-0.000267687,0.064362624,0,1.48,0,2.68E-04
1.03,-0.0002629,-0.000278433,0.059082807,0,1.48,0,2.78E-04
1.04,-0.0002747,-0.000289212,0.052829887,0,1.48,0,2.89E-04
1.05,-0.0002872,-0.000300023,0.044648329,0,1.48,0,3.00E-04
1.06,-0.0002976,-0.000310862,0.044564046,0,1.48,0,3.11E-04
1.07,-0.0003096,-0.000321728,0.039172545,0,1.48,0,3.22E-04
1.08,-0.0003215,-0.000332617,0.034580031,0,1.48,0,3.33E-04
1.09,-0.0003348,-0.000343529,0.026072939,0,1.48,0,3.44E-04
1.1,-0.000345,-0.000354461,0.027423594,0,1.48,0,3.54E-04
1.11,-0.0003561,-0.000365411,0.026148441,0,1.48,0,3.65E-04
1.12,-0.0003635,-0.000376379,0.035429243,0,1.48,0,3.76E-04
1.13,-0.0003787,-0.000387361,0.022869818,0,1.48,0,3.87E-04
1.14,-0.000392,-0.000398357,0.016216352,0,1.48,0,3.98E-04
1.15,-0.0004027,-0.000409365,0.016551329,0,1.48,0,4.09E-04
1.16,-0.0004144,-0.000420385,0.014441964,0,1.48,0,4.20E-04
1.17,-0.000426,-0.000431414,0.01270946,0,1.48,0,4.31E-04
1.18,-0.0004379,-0.000442453,0.010396323,0,1.48,0,4.42E-04
1.19,-0.0004494,-0.000453499,0.009120316,0,1.48,0,4.53E-04
1.2,-0.0004604,-0.000464552,0.009017398,0,1.48,0,4.65E-04
1.21,-0.0004734,-0.00047561,0.004669349,0,1.48,0,4.76E-04
1.22,-0.0004842,-0.000486674,0.005110285,0,1.48,0,4.87E-04
1.23,-0.0004958,-0.000497743,0.003918112,0,1.48,0,4.98E-04
1.24,-0.0005077,-0.000508814,0.002194839,0,1.48,0,5.09E-04
1.25,-0.0005195,-0.000519889,0.000748547,0,1.48,0,5.20E-04
1.26,-0.0005304,-0.000530966,0.001066327,0,1.48,0,5.31E-04
1.27,-0.0005417,-0.000542044,0.000634724,0,1.48,0,5.42E-04
1.28,-0.0005539,-0.000553123,0.001402672,0,1.48,0,5.53E-04
1.29,-0.0005644,-0.000564203,0.000349557,0,1.48,0,5.64E-04
1.3,-0.0005757,-0.000575282,0.000725586,0,1.48,0,5.75E-04
1.31,-0.0005884,-0.000586361,0.003464854,0,1.48,0,5.86E-04
1.32,-0.0005997,-0.000597439,0.003769768,0,1.48,0,5.97E-04
1.33,-0.0006108,-0.000608516,0.003739637,0,1.48,0,6.09E-04
1.34,-0.0006258,-0.000619591,0.009922419,0,1.48,0,6.20E-04
1.35,-0.0006334,-0.000630663,0.004321014,0,1.48,0,6.31E-04
1.36,-0.0006451,-0.000641733,0.005219299,0,1.48,0,6.42E-04
1.37,-0.0006571,-0.0006528,0.006543753,0,1.48,0,6.53E-04
1.38,-0.0006683,-0.000663864,0.006637767,0,1.48,0,6.64E-04
1.39,-0.0006791,-0.000674924,0.00614877,0,1.48,0,6.75E-04
1.4,-0.0006906,-0.000685981,0.006688401,0,1.48,0,6.86E-04
1.41,-0.0007025,-0.000697034,0.007781381,0,1.48,0,6.97E-04
1.42,-0.0007126,-0.000708082,0.006340289,0,1.48,0,7.08E-04
1.43,-0.0007232,-0.000719126,0.005633656,0,1.48,0,7.19E-04
1.44,-0.0007356,-0.000730165,0.007388717,0,1.48,0,7.30E-04
1.45,-0.0007438,-0.000741199,0.003496814,0,1.48,0,7.41E-04
1.46,-0.0007578,-0.000752228,0.007352639,0,1.48,0,7.52E-04
1.47,-0.0007691,-0.000763252,0.007603719,0,1.48,0,7.63E-04
1.48,-0.0007847,-0.00077427,0.013291283,0,1.48,0,7.74E-04
1.49,-0.0007898,-0.000785283,0.005719081,0,1.48,0,7.85E-04
1.5,-0.0008021,-0.00079629,0.007243436,0,1.48,0,7.96E-04
1.51,-0.0008131,-0.000807291,0.007144127,0,1.48,0,8.07E-04
1.52,-0.0008249,-0.000818286,0.008017784,0,1.48,0,8.18E-04
1.53,-0.0008356,-0.000829275,0.007569435,0,1.48,0,8.29E-04
1.54,-0.0008462,-0.000840258,0.007022512,0,1.48,0,8.40E-04
1.55,-0.0008566,-0.000851234,0.006264616,0,1.48,0,8.51E-04
1.56,-0.0008678,-0.000862203,0.006449182,0,1.48,0,8.62E-04
1.57,-0.0008785,-0.000873166,0.006071178,0,1.48,0,8.73E-04
1.58,-0.0008887,-0.000884123,0.005150388,0,1.48,0,8.84E-04
1.59,-0.0008995,-0.000895072,0.004922235,0,1.48,0,8.95E-04
1.6,-0.0009109,-0.000906015,0.00536263,0,1.48,0,9.06E-04
1.61,-0.0009216,-0.000916951,0.00504451,0,1.48,0,9.17E-04
1.62,-0.0009322,-0.00092788,0.004634456,0,1.48,0,9.28E-04
1.63,-0.0009429,-0.000938801,0.004346739,0,1.48,0,9.39E-04
1.64,-0.0009536,-0.000949716,0.004072976,0,1.48,0,9.50E-04
1.65,-0.000964,-0.000960623,0.003502739,0,1.48,0,9.61E-04
1.66,-0.0009727,-0.000971523,0.001209582,0,1.48,0,9.72E-04
1.67,-0.0009854,-0.000982416,0.003028009,0,1.48,0,9.82E-04
1.68,-0.0009958,-0.000993302,0.002508948,0,1.48,0,9.93E-04
1.69,-0.0010061,-0.00100418,0.001908757,0,1.48,0,1.00E-03
1.7,-0.0010173,-0.00101505,0.002211639,0,1.48,0,1.02E-03
1.71,-0.0010269,-0.001025913,0.000961048,0,1.48,0,1.03E-03
1.72,-0.0010369,-0.001036769,0.00012682,0,1.48,0,1.04E-03
1.73,-0.0010486,-0.001047616,0.000938013,0,1.48,0,1.05E-03
1.74,-0.0010583,-0.001058457,0.000147973,0,1.48,0,1.06E-03
1.75,-0.0010688,-0.001069289,0.00045771,0,1.48,0,1.07E-03
1.76,-0.0010793,-0.001080114,0.000754378,0,1.48,0,1.08E-03
1.77,-0.0010901,-0.001090931,0.000762682,0,1.48,0,1.09E-03
1.78,-0.0010997,-0.001101741,0.001855779,0,1.48,0,1.10E-03
1.79,-0.0011141,-0.001112543,0.001397989,0,1.48,0,1.11E-03
1.8,-0.0011208,-0.001123336,0.002263026,0,1.48,0,1.12E-03
1.81,-0.0011308,-0.001134122,0.002938097,0,1.48,0,1.13E-03
1.82,-0.0011404,-0.001144901,0.00394651,0,1.48,0,1.14E-03
1.83,-0.0011515,-0.001155671,0.003622232,0,1.48,0,1.16E-03
1.84,-0.0011609,-0.001166433,0.004766474,0,1.48,0,1.17E-03
1.85,-0.0011708,-0.001177188,0.005456098,0,1.48,0,1.18E-03
