vgate,idrain,idrain-fit,errors,vbulk,vdrain,vsource
0.0,1e-10,6.6932019e-15,0.999933067981,0.0,-0.01,0.0
-0.01,1e-10,7.7390933e-15,0.9999226090669999,0.0,-0.01,0.0
-0.06,1e-10,1.6284683e-14,0.99983715317,0.0,-0.01,0.0
-0.1,1e-10,2.9934713e-14,0.99970065287,0.0,-0.01,0.0
-0.12,1e-10,4.0691098e-14,0.99959308902,0.0,-0.01,0.0
-0.18,1e-10,1.0279115e-13,0.9989720885000001,0.0,-0.01,0.0
-0.19,1e-10,1.2002125e-13,0.9987997875,0.0,-0.01,0.0
-0.25,1e-10,3.046141e-13,0.996953859,0.0,-0.01,0.0
-0.26,1e-10,3.5582592e-13,0.9964417408,0.0,-0.01,0.0
-0.27,1e-10,4.156593e-13,0.9958434070000001,0.0,-0.01,0.0
-0.31,1e-10,7.741413e-13,0.992258587,0.0,-0.01,0.0
-0.32,1e-10,9.043856e-13,0.990956144,0.0,-0.01,0.0
-0.36,1e-10,1.6846205e-12,0.983153795,0.0,-0.01,0.0
-0.4,1e-10,3.1378458e-12,0.968621542,0.0,-0.01,0.0
-0.43,1e-10,5.0025047e-12,0.949974953,0.0,-0.01,0.0
-0.47,1e-10,9.3147436e-12,0.906852564,0.0,-0.01,0.0
-0.51,1e-10,1.7338238e-11,0.8266176199999999,0.0,-0.01,0.0
-0.54,1e-10,2.7621512e-11,0.7237848800000001,0.0,-0.01,0.0
-0.58,1e-10,5.1365199e-11,0.48634801,0.0,-0.01,0.0
-0.63,1e-10,1.1141384e-10,0.11413839999999996,0.0,-0.01,0.0
-0.66,1e-10,1.771517e-10,0.771517,0.0,-0.01,0.0
-0.67,1e-10,2.0673247e-10,1.0673247000000001,0.0,-0.01,0.0
-0.7,1e-10,3.283588e-10,2.283588,0.0,-0.01,0.0
-0.72,1e-10,4.4675944e-10,3.4675944,0.0,-0.01,0.0
-0.73,1e-10,5.2102372e-10,4.210237199999999,0.0,-0.01,0.0
-0.74,1e-10,6.0755405e-10,5.0755405,0.0,-0.01,0.0
-0.78,1e-10,1.1216943e-09,10.216942999999999,0.0,-0.01,0.0
-0.79,1e-10,1.3070083e-09,12.070083,0.0,-0.01,0.0
-0.8,7e-10,1.5226842e-09,1.175263142857143,0.0,-0.01,0.0
-0.81,1e-10,1.7736462e-09,16.736462,0.0,-0.01,0.0
-0.82,7e-10,2.0656095e-09,1.9508707142857145,0.0,-0.01,0.0
-0.83,1.3e-09,2.4052061e-09,0.8501585384615382,0.0,-0.01,0.0
-0.84,7e-10,2.8001329e-09,3.0001898571428574,0.0,-0.01,0.0
-0.85,7e-10,3.2593222e-09,3.6561745714285716,0.0,-0.01,0.0
-0.86,1.3e-09,3.7931418e-09,1.9178013846153845,0.0,-0.01,0.0
-0.87,1.3e-09,4.4136282e-09,2.3950986153846148,0.0,-0.01,0.0
-0.88,1.3e-09,5.1347589e-09,2.9498145384615384,0.0,-0.01,0.0
-0.89,7e-10,5.9727712e-09,7.532530285714286,0.0,-0.01,0.0
-0.9,3.3e-09,6.9465371e-09,1.1050112424242422,0.0,-0.01,0.0
-0.91,2.6e-09,8.078002e-09,2.106923846153846,0.0,-0.01,0.0
-0.92,3.9e-09,9.3927008e-09,1.4083848205128207,0.0,-0.01,0.0
-0.93,3.9e-09,1.0920365e-08,1.8000935897435897,0.0,-0.01,0.0
-0.94,3.9e-09,1.2695637e-08,2.255291538461538,0.0,-0.01,0.0
-0.95,5.8e-09,1.4758907e-08,1.5446391379310347,0.0,-0.01,0.0
-0.96,2.6e-09,1.7157294e-08,5.598959230769231,0.0,-0.01,0.0
-0.97,5.8e-09,1.9945797e-08,2.4389305172413795,0.0,-0.01,0.0
-0.98,2.6e-09,2.3188626e-08,7.918702307692307,0.0,-0.01,0.0
-0.99,2e-09,2.6960743e-08,12.480371499999999,0.0,-0.01,0.0
-1.0,8.4e-09,3.1349625e-08,2.732098214285714,0.0,-0.01,0.0
-1.01,1.22e-08,3.6457255e-08,1.9882995901639342,0.0,-0.01,0.0
-1.02,1.09e-08,4.2402341e-08,2.890123027522936,0.0,-0.01,0.0
-1.03,6.5e-09,4.9322727e-08,6.588111846153846,0.0,-0.01,0.0
-1.04,1.35e-08,5.7377958e-08,3.250219111111111,0.0,-0.01,0.0
-1.05,1.54e-08,6.6751891e-08,3.334538376623377,0.0,-0.01,0.0
-1.06,1.48e-08,7.7655222e-08,4.24697445945946,0.0,-0.01,0.0
-1.07,1.48e-08,9.032772e-08,5.103224324324325,0.0,-0.01,0.0
-1.08,2.89e-08,1.0503991e-07,2.634598961937716,0.0,-0.01,0.0
-1.09,3.21e-08,1.2209387e-07,2.803547352024922,0.0,-0.01,0.0
-1.1,7.82e-08,1.4182269e-07,0.8135893861892584,0.0,-0.01,0.0
-1.11,1.3e-07,1.6458826e-07,0.2660635384615385,0.0,-0.01,0.0
-1.12,6.34e-08,1.9077676e-07,2.0090971608832806,0.0,-0.01,0.0
-1.13,7.3e-08,2.2079156e-07,2.024541917808219,0.0,-0.01,0.0
-1.14,9.22e-08,2.5504313e-07,1.7661944685466378,0.0,-0.01,0.0
-1.15,1.793e-07,2.9393587e-07,0.639352314556609,0.0,-0.01,0.0
-1.16,1.543e-07,3.3785192e-07,1.1895782242384965,0.0,-0.01,0.0
-1.17,1.614e-07,3.8713254e-07,1.3985907063197025,0.0,-0.01,0.0
-1.18,2.222e-07,4.4205783e-07,0.9894591809180918,0.0,-0.01,0.0
-1.19,3.035e-07,5.0282612e-07,0.6567582207578253,0.0,-0.01,0.0
-1.2,2.478e-07,5.6953462e-07,1.2983640839386605,0.0,-0.01,0.0
-1.21,3.528e-07,6.4216302e-07,0.8201899659863946,0.0,-0.01,0.0
-1.22,3.944e-07,7.2056188e-07,0.8269824543610549,0.0,-0.01,0.0
-1.23,4.161e-07,8.0444723e-07,0.9333026435952897,0.0,-0.01,0.0
-1.24,4.36e-07,8.9340236e-07,1.049087981651376,0.0,-0.01,0.0
-1.25,5.423e-07,9.8688721e-07,0.8198178314586023,0.0,-0.01,0.0
-1.26,5.442e-07,1.0842547e-06,0.9923827636898197,0.0,-0.01,0.0
-1.27,6.882e-07,1.1847733e-06,0.7215537634408601,0.0,-0.01,0.0
-1.28,6.965e-07,1.287653e-06,0.8487480258435031,0.0,-0.01,0.0
-1.29,6.568e-07,1.3920747e-06,1.1194803593179048,0.0,-0.01,0.0
-1.3,8.975e-07,1.497218e-06,0.668209470752089,0.0,-0.01,0.0
-1.31,7.08e-07,1.6022878e-06,1.2631183615819208,0.0,-0.01,0.0
-1.32,8.604e-07,1.7065375e-06,0.9834234077173408,0.0,-0.01,0.0
-1.33,8.476e-07,1.8092864e-06,1.1345993393109954,0.0,-0.01,0.0
