vdrain,idrain,idrain-fit,errors,vbulk,vgate,vsource
-0.01,8e-08,5.4195993e-07,5.774499125,0.0,-1.48,0.0
-0.02,4.3e-07,1.0708629e-06,1.4903788372093025,0.0,-1.48,0.0
-0.03,7.7e-07,1.58675e-06,1.0607142857142857,0.0,-1.48,0.0
-0.04,1.09e-06,2.0896649e-06,0.9171237614678899,0.0,-1.48,0.0
-0.05,1.44e-06,2.5796543e-06,0.7914265972222222,0.0,-1.48,0.0
-0.06,1.68e-06,3.0567684e-06,0.8195049999999999,0.0,-1.48,0.0
-0.07,2.1e-06,3.5210607e-06,0.6766955714285715,0.0,-1.48,0.0
-0.08,2.44e-06,3.9725889e-06,0.6281102049180328,0.0,-1.48,0.0
-0.09,2.79e-06,4.4114149e-06,0.5811522939068101,0.0,-1.48,0.0
-0.1,3.11e-06,4.8376054e-06,0.5555001286173634,0.0,-1.48,0.0
-0.11,3.49e-06,5.2512326e-06,0.5046511747851004,0.0,-1.48,0.0
-0.12,3.83e-06,5.6523741e-06,0.4758156919060053,0.0,-1.48,0.0
-0.13,4.02e-06,6.0411142e-06,0.5027647263681594,0.0,-1.48,0.0
-0.14,4.53e-06,6.4175438e-06,0.4166763355408388,0.0,-1.48,0.0
-0.15,4.95e-06,6.7817616e-06,0.3700528484848484,0.0,-1.48,0.0
-0.16,5.2e-06,7.1338745e-06,0.3718989423076922,0.0,-1.48,0.0
-0.17,5.56e-06,7.4739985e-06,0.3442443345323741,0.0,-1.48,0.0
-0.18,5.9e-06,7.8022595e-06,0.32241686440677975,0.0,-1.48,0.0
-0.19,6.24e-06,8.1187939e-06,0.3010887660256409,0.0,-1.48,0.0
-0.2,6.57e-06,8.4237497e-06,0.282153683409437,0.0,-1.48,0.0
-0.21,6.92e-06,8.7172874e-06,0.259723612716763,0.0,-1.48,0.0
-0.22,7.23e-06,8.9995807e-06,0.24475528354080206,0.0,-1.48,0.0
-0.23,7.55e-06,9.2708174e-06,0.22792283443708622,0.0,-1.48,0.0
-0.24,7.87e-06,9.5312007e-06,0.21108013977128356,0.0,-1.48,0.0
-0.25,8.21e-06,9.7809492e-06,0.19134582216808785,0.0,-1.48,0.0
-0.26,8.48e-06,1.0020298e-05,0.1816389150943397,0.0,-1.48,0.0
-0.27,8.79e-06,1.02495e-05,0.16604095563139934,0.0,-1.48,0.0
-0.28,9.07e-06,1.0468824e-05,0.15422535832414552,0.0,-1.48,0.0
-0.29,9.36e-06,1.0678558e-05,0.14087158119658116,0.0,-1.48,0.0
-0.3,9.64e-06,1.0879007e-05,0.12852769709543574,0.0,-1.48,0.0
-0.31,9.9e-06,1.1070492e-05,0.11823151515151513,0.0,-1.48,0.0
