vgate,idrain,idrain-fit,errors,vbulk,vdrain,vsource
-0.7,1e-08,1.6150038e-08,0.6150038000000001,0.0,-0.74,0.0
-0.71,1e-08,1.8129417e-08,0.8129417,0.0,-0.74,0.0
-0.72,1e-08,2.0340662e-08,1.0340662,0.0,-0.74,0.0
-0.73,1e-08,2.2809259e-08,1.2809259,0.0,-0.74,0.0
-0.74,1e-08,2.5563264e-08,1.5563263999999999,0.0,-0.74,0.0
-0.75,1e-08,2.8633531e-08,1.8633530999999999,0.0,-0.74,0.0
-0.76,1e-08,3.2053967e-08,2.2053967,0.0,-0.74,0.0
-0.77,1e-08,3.5861804e-08,2.5861803999999995,0.0,-0.74,0.0
-0.78,1e-08,4.0097891e-08,3.0097891,0.0,-0.74,0.0
-0.79,2e-08,4.4807018e-08,1.2403509,0.0,-0.74,0.0
-0.8,2e-08,5.0038259e-08,1.50191295,0.0,-0.74,0.0
-0.81,2e-08,5.5845353e-08,1.7922676499999999,0.0,-0.74,0.0
-0.82,2e-08,6.2287111e-08,2.11435555,0.0,-0.74,0.0
-0.83,3e-08,6.9427862e-08,1.3142620666666667,0.0,-0.74,0.0
-0.84,3e-08,7.7337942e-08,1.5779314000000002,0.0,-0.74,0.0
-0.85,3e-08,8.6094219e-08,1.8698073000000004,0.0,-0.74,0.0
-0.86,4e-08,9.578067e-08,1.39451675,0.0,-0.74,0.0
-0.87,4e-08,1.0648901e-07,1.66222525,0.0,-0.74,0.0
-0.88,5e-08,1.1831938e-07,1.3663876000000001,0.0,-0.74,0.0
-0.89,6e-08,1.3138108e-07,1.189684666666667,0.0,-0.74,0.0
-0.9,6e-08,1.4579338e-07,1.4298896666666667,0.0,-0.74,0.0
-0.91,7e-08,1.6168644e-07,1.3098062857142854,0.0,-0.74,0.0
-0.92,8e-08,1.7920218e-07,1.24002725,0.0,-0.74,0.0
-0.93,9e-08,1.9849537e-07,1.205504111111111,0.0,-0.74,0.0
-0.94,1.1e-07,2.1973475e-07,0.9975886363636363,0.0,-0.74,0.0
-0.95,1.2e-07,2.4310415e-07,1.025867916666667,0.0,-0.74,0.0
-0.96,1.4e-07,2.6880381e-07,0.920027214285714,0.0,-0.74,0.0
-0.97,1.6e-07,2.9705169e-07,0.8565730625000001,0.0,-0.74,0.0
-0.98,1.8e-07,3.2808489e-07,0.8226938333333335,0.0,-0.74,0.0
-0.99,2.1e-07,3.6216112e-07,0.7245767619047618,0.0,-0.74,0.0
-1.0,2.4e-07,3.9956022e-07,0.6648342500000002,0.0,-0.74,0.0
-1.01,2.7e-07,4.4058567e-07,0.6317987777777778,0.0,-0.74,0.0
-1.02,3.1e-07,4.8556619e-07,0.5663425483870969,0.0,-0.74,0.0
-1.03,3.5e-07,5.3485721e-07,0.5281634571428571,0.0,-0.74,0.0
-1.04,4.1e-07,5.8884238e-07,0.43620092682926825,0.0,-0.74,0.0
-1.05,4.7e-07,6.4793491e-07,0.37858491489361695,0.0,-0.74,0.0
-1.06,5.4e-07,7.1257878e-07,0.3195903333333332,0.0,-0.74,0.0
-1.07,6.3e-07,7.8324975e-07,0.24325357142857146,0.0,-0.74,0.0
-1.08,7.2e-07,8.6045606e-07,0.19507786111111117,0.0,-0.74,0.0
-1.09,8.2e-07,9.4473882e-07,0.15212051219512202,0.0,-0.74,0.0
-1.1,9.2e-07,1.0366719e-06,0.1268172826086958,0.0,-0.74,0.0
-1.11,1.09e-06,1.1368616e-06,0.04299229357798162,0.0,-0.74,0.0
-1.12,1.26e-06,1.2459452e-06,0.011154603174603126,0.0,-0.74,0.0
-1.13,1.43e-06,1.3645892e-06,0.04574181818181821,0.0,-0.74,0.0
-1.14,1.67e-06,1.493487e-06,0.10569640718562878,0.0,-0.74,0.0
-1.15,1.83e-06,1.6333554e-06,0.10745606557377047,0.0,-0.74,0.0
-1.16,2.06e-06,1.7849302e-06,0.1335290291262137,0.0,-0.74,0.0
-1.17,2.31e-06,1.948961e-06,0.1562939393939394,0.0,-0.74,0.0
-1.18,2.58e-06,2.1262056e-06,0.17588930232558134,0.0,-0.74,0.0
-1.19,2.87e-06,2.3174225e-06,0.19253571428571434,0.0,-0.74,0.0
-1.2,3.15e-06,2.5233629e-06,0.1989324126984127,0.0,-0.74,0.0
-1.21,3.58e-06,2.7447624e-06,0.23330659217877098,0.0,-0.74,0.0
-1.22,3.82e-06,2.9823314e-06,0.21928497382198944,0.0,-0.74,0.0
-1.23,4.17e-06,3.2367449e-06,0.2238021822541966,0.0,-0.74,0.0
-1.24,4.54e-06,3.5086325e-06,0.2271734581497797,0.0,-0.74,0.0
-1.25,4.84e-06,3.7985676e-06,0.21517198347107439,0.0,-0.74,0.0
-1.26,5.29e-06,4.1070571e-06,0.22361869565217396,0.0,-0.74,0.0
-1.27,5.71e-06,4.4345311e-06,0.223374588441331,0.0,-0.74,0.0
-1.28,6.17e-06,4.7813337e-06,0.225067471636953,0.0,-0.74,0.0
-1.29,6.56e-06,5.147714e-06,0.21528750000000002,0.0,-0.74,0.0
-1.3,6.97e-06,5.5338192e-06,0.20605176470588243,0.0,-0.74,0.0
-1.31,7.46e-06,5.939688e-06,0.20379517426273458,0.0,-0.74,0.0
-1.32,7.91e-06,6.3652466e-06,0.19529120101137804,0.0,-0.74,0.0
-1.33,8.37e-06,6.8103057e-06,0.18634340501792113,0.0,-0.74,0.0
-1.34,8.88e-06,7.2745599e-06,0.18079280405405407,0.0,-0.74,0.0
-1.35,9.36e-06,7.7575888e-06,0.17119777777777778,0.0,-0.74,0.0
-1.36,9.85e-06,8.2588604e-06,0.16153701522842642,0.0,-0.74,0.0
-1.37,1.039e-05,8.7777355e-06,0.15517463907603474,0.0,-0.74,0.0
-1.38,1.088e-05,9.3134749e-06,0.14398208639705878,0.0,-0.74,0.0
-1.39,1.144e-05,9.8652473e-06,0.13765320804195808,0.0,-0.74,0.0
-1.4,1.194e-05,1.0432139e-05,0.1262865159128978,0.0,-0.74,0.0
-1.41,1.254e-05,1.1013165e-05,0.12175717703349277,0.0,-0.74,0.0
-1.42,1.302e-05,1.1607279e-05,0.10850391705069123,0.0,-0.74,0.0
-1.43,1.354e-05,1.2213387e-05,0.0979773264401773,0.0,-0.74,0.0
-1.44,1.411e-05,1.2830359e-05,0.0906903614457832,0.0,-0.74,0.0
-1.45,1.466e-05,1.3457039e-05,0.08205736698499319,0.0,-0.74,0.0
-1.46,1.522e-05,1.4092259e-05,0.07409599211563732,0.0,-0.74,0.0
