vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,0.00000000e+00,1.85000000e+00,-1.85137552e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85137568e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85137605e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85137658e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85137743e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85137881e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85138105e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85138468e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85139055e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,0.00000000e+00,1.85000000e+00,-1.85140007e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-01,0.00000000e+00,1.85000000e+00,-1.85141549e-12,3.66342660e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
