vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,3.14100000e+03,0.00000000e+00,-1.85137755e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,3.14100000e+03,1.00000000e-02,-1.85137869e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,3.14100000e+03,2.00000000e-02,-1.85138137e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,3.14100000e+03,3.00000000e-02,-1.85138520e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,3.14100000e+03,4.00000000e-02,-1.85139139e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,3.14100000e+03,5.00000000e-02,-1.85140144e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,3.14100000e+03,6.00000000e-02,-1.85141770e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,3.14100000e+03,7.00000000e-02,-1.85144406e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,3.14100000e+03,8.00000000e-02,-1.85148675e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,3.14100000e+03,9.00000000e-02,-1.85155592e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-01,3.14100000e+03,1.00000000e-01,-1.85166798e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.10000000e-01,3.14100000e+03,1.10000000e-01,-1.85184951e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.20000000e-01,3.14100000e+03,1.20000000e-01,-1.85214361e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.30000000e-01,3.14100000e+03,1.30000000e-01,-1.85262006e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.40000000e-01,3.14100000e+03,1.40000000e-01,-1.85339194e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.50000000e-01,3.14100000e+03,1.50000000e-01,-1.85464240e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.60000000e-01,3.14100000e+03,1.60000000e-01,-1.85666818e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.70000000e-01,3.14100000e+03,1.70000000e-01,-1.85994998e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.80000000e-01,3.14100000e+03,1.80000000e-01,-1.86526653e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.90000000e-01,3.14100000e+03,1.90000000e-01,-1.87387930e-12,3.05796214e-01,4.82123236e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
